Date,Open,High,Low,Close,Adj Close,Volume,CloseLong,CloseShort,OpenLong,OpenShort,HighLong,HighShort,LowLong,LowShort
26/06/2022,#N/A,,,,,,31,69,30,70,31,70,30,69
27/06/2022,93.768997,93.934998,93.004997,93.768997,93.768997,0,28,72,29,71,31,72,28,69
28/06/2022,93.748001,94.668999,93.481003,93.748001,93.748001,0,33,67,31,69,33,72,28,67
29/06/2022,93.929001,94.268997,93.478996,93.929001,93.929001,0,32,68,33,67,35,68,32,65
30/06/2022,93.963997,94.271004,93.349998,93.963997,93.963997,0,34,66,32,68,34,71,29,66
01/07/2022,93.657997,93.779999,91.420998,93.657997,93.657997,0,32,68,35,65,38,69,31,62
03/07/2022,#N/A,,,,,,33,67,32,68,33,68,32,67
04/07/2022,92.032997,93.275002,91.600998,92.032997,92.032997,0,35,65,33,67,36,69,31,64
05/07/2022,93.363998,93.971001,91.739998,93.363998,93.363998,0,33,67,35,65,35,71,29,65
06/07/2022,92.049004,92.499001,91.541,92.049004,92.049004,0,33,67,34,66,35,68,32,65
07/07/2022,92.232002,93.124001,91.907997,92.232002,92.232002,0,33,67,33,67,41,67,33,59
08/07/2022,93.064003,93.469002,92.345001,93.064003,93.064003,0,32,68,34,66,35,69,31,65
10/07/2022,#N/A,,,,,,36,64,32,68,36,68,32,64
11/07/2022,93.279999,93.671997,92.314003,93.279999,93.279999,0,34,66,35,65,36,70,30,64
12/07/2022,92.635002,92.639999,91.962997,92.635002,92.635002,0,31,69,32,68,32,71,29,68
13/07/2022,92.246002,93.362,92.246002,92.246002,92.246002,0,32,68,32,68,37,68,32,63
14/07/2022,92.651001,94.236,92.670998,92.651001,92.651001,0,39,61,33,67,39,69,31,61
15/07/2022,93.861,94.25,93.188004,93.861,93.861,0,36,64,38,62,39,65,35,61
17/07/2022,#N/A,,,,,,39,61,36,64,39,64,36,61
18/07/2022,94.223,94.625999,93.946999,94.223,94.223,0,41,59,38,62,44,62,38,56
19/07/2022,94.127998,95.222,94.004997,94.127998,94.127998,0,36,64,41,59,42,64,36,58
20/07/2022,95.306,95.746002,95.077003,95.306,95.306,0,35,65,37,63,38,67,33,62
21/07/2022,95.311996,95.584,95.004997,95.311996,95.311996,0,31,69,36,64,38,69,31,62
22/07/2022,94.906998,95.373001,94.495003,94.906998,94.906998,0,29,71,31,69,31,73,27,69
24/07/2022,#N/A,,,,,,29,71,29,71,29,72,28,71
25/07/2022,94.099998,95.167999,93.916,94.099998,94.099998,0,25,75,29,71,32,75,25,68
26/07/2022,94.824997,95.264999,94.572998,94.824997,94.824997,0,32,68,26,74,32,74,26,68
27/07/2022,95.150002,95.32,94.758003,95.150002,95.150002,0,30,70,32,68,33,70,30,67
28/07/2022,95.199997,95.308998,93.623001,95.199997,95.199997,0,33,67,31,69,33,71,29,67
29/07/2022,94.042999,94.247002,92.887001,94.042999,94.042999,0,29,71,32,68,32,73,27,68
31/07/2022,#N/A,,,,,,31,69,29,71,31,71,29,69
01/08/2022,92.990997,93.306,92.313004,92.990997,92.990997,0,34,66,29,71,34,71,29,66
